state,date,new_results_reported,total_results_reported,Longitude,Latitude
OH,1/20/2021,5020,776539,-82.70936,40.415534
WA,1/20/2021,1173,209390,-120.592492,47.411715
NY,1/20/2021,18339,1406107,-75.59655,42.921241
FL,1/21/2021,13966,2112173,-82.420978,28.260731
WA,1/21/2021,1223,210613,-120.592492,47.411715
OH,1/21/2021,4206,780745,-82.70936,40.415534
NY,1/21/2021,16978,1423085,-75.59655,42.921241
MD,1/21/2021,5346,655182,-76.687282,38.946466
LA,1/21/2021,994,463006,-91.840238,30.921314
GA,1/21/2021,5623,660528,-83.426574,32.638481
CA,1/21/2021,27925,3132477,-119.662127,37.211164
FL,1/22/2021,13218,2125391,-82.420978,28.260731
CA,1/22/2021,25887,3158364,-119.662127,37.211164
GA,1/22/2021,5182,665710,-83.426574,32.638481
LA,1/22/2021,1162,464168,-91.840238,30.921314
WA,1/22/2021,1002,211615,-120.592492,47.411715
NY,1/22/2021,16059,1439144,-75.59655,42.921241
OH,1/22/2021,3992,784737,-82.70936,40.415534
MD,1/22/2021,5480,660662,-76.687282,38.946466
FL,1/23/2021,11688,2137079,-82.420978,28.260731
WA,1/23/2021,763,212378,-120.592492,47.411715
OH,1/23/2021,3544,788281,-82.70936,40.415534
NY,1/23/2021,13374,1452518,-75.59655,42.921241
MD,1/23/2021,4466,665128,-76.687282,38.946466
LA,1/23/2021,789,464957,-91.840238,30.921314
GA,1/23/2021,3326,669036,-83.426574,32.638481
CA,1/23/2021,22669,3181033,-119.662127,37.211164
WA,1/24/2021,718,213096,-120.592492,47.411715
OH,1/24/2021,2281,790562,-82.70936,40.415534
NY,1/24/2021,12125,1464643,-75.59655,42.921241
MD,1/24/2021,3401,668529,-76.687282,38.946466
LA,1/24/2021,815,465772,-91.840238,30.921314
GA,1/24/2021,2336,671372,-83.426574,32.638481
FL,1/24/2021,8427,2145506,-82.420978,28.260731
CA,1/24/2021,15574,3196607,-119.662127,37.211164
CA,1/25/2021,13681,3210288,-119.662127,37.211164
FL,1/25/2021,10794,2156300,-82.420978,28.260731
GA,1/25/2021,5846,677218,-83.426574,32.638481
LA,1/25/2021,1394,467166,-91.840238,30.921314
NY,1/25/2021,12456,1477099,-75.59655,42.921241
OH,1/25/2021,2302,792864,-82.70936,40.415534
WA,1/25/2021,456,213552,-120.592492,47.411715
MD,1/25/2021,3071,671600,-76.687282,38.946466
FL,1/26/2021,13605,2169905,-82.420978,28.260731
WA,1/26/2021,972,214524,-120.592492,47.411715
OH,1/26/2021,3691,796555,-82.70936,40.415534
NY,1/26/2021,14160,1491259,-75.59655,42.921241
MD,1/26/2021,4577,676177,-76.687282,38.946466
LA,1/26/2021,1366,468532,-91.840238,30.921314
GA,1/26/2021,5320,682538,-83.426574,32.638481
CA,1/26/2021,19904,3230192,-119.662127,37.211164
GA,1/27/2021,4557,687095,-83.426574,32.638481
CA,1/27/2021,23992,3254184,-119.662127,37.211164
LA,1/27/2021,1276,469808,-91.840238,30.921314
MD,1/27/2021,4138,680315,-76.687282,38.946466
FL,1/27/2021,13192,2183097,-82.420978,28.260731
OH,1/27/2021,4167,800722,-82.70936,40.415534
NY,1/27/2021,15547,1506806,-75.59655,42.921241
WA,1/27/2021,990,215514,-120.592492,47.411715
OH,1/28/2021,3919,804641,-82.70936,40.415534
FL,1/28/2021,11539,2194636,-82.420978,28.260731
WA,1/28/2021,771,216285,-120.592492,47.411715
GA,1/28/2021,4665,691760,-83.426574,32.638481
LA,1/28/2021,1080,470888,-91.840238,30.921314
MD,1/28/2021,4454,684769,-76.687282,38.946466
NY,1/28/2021,14612,1521418,-75.59655,42.921241
CA,1/28/2021,20707,3274891,-119.662127,37.211164
GA,1/29/2021,4117,695877,-83.426574,32.638481
LA,1/29/2021,1005,471893,-91.840238,30.921314
MD,1/29/2021,4295,689064,-76.687282,38.946466
NY,1/29/2021,12922,1534340,-75.59655,42.921241
OH,1/29/2021,3292,807933,-82.70936,40.415534
WA,1/29/2021,883,217168,-120.592492,47.411715
CA,1/29/2021,20190,3295081,-119.662127,37.211164
FL,1/29/2021,11057,2205693,-82.420978,28.260731
CA,1/3/2021,33613,2493130,-119.662127,37.211164
WA,1/3/2021,1320,187056,-120.592492,47.411715
FL,1/3/2021,10675,1844287,-82.420978,28.260731
GA,1/3/2021,1372,565484,-83.426574,32.638481
LA,1/3/2021,2171,416811,-91.840238,30.921314
MD,1/3/2021,4904,546792,-76.687282,38.946466
NY,1/3/2021,11701,1154485,-75.59655,42.921241
OH,1/3/2021,3740,683078,-82.70936,40.415534
OH,1/30/2021,2772,810705,-82.70936,40.415534
LA,1/30/2021,620,472513,-91.840238,30.921314
GA,1/30/2021,2499,698376,-83.426574,32.638481
FL,1/30/2021,9836,2215529,-82.420978,28.260731
