state,date,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,Longitude,Latitude
NY,5/26/2020,1.0,0.0,-75.59655,42.921241
OH,5/26/2020,,,-82.70936,40.415534
WA,5/26/2020,,,-120.592492,47.411715
CA,5/25/2020,,,-119.662127,37.211164
FL,5/25/2020,,,-82.420978,28.260731
GA,5/25/2020,,,-83.426574,32.638481
LA,5/25/2020,25.0,,-91.840238,30.921314
MD,5/25/2020,,,-76.687282,38.946466
NY,5/25/2020,0.0,0.0,-75.59655,42.921241
OH,5/25/2020,,,-82.70936,40.415534
WA,5/25/2020,,,-120.592492,47.411715
CA,5/24/2020,,,-119.662127,37.211164
FL,5/24/2020,,,-82.420978,28.260731
GA,5/24/2020,,,-83.426574,32.638481
LA,5/24/2020,25.0,,-91.840238,30.921314
MD,5/24/2020,,,-76.687282,38.946466
NY,5/24/2020,0.0,0.0,-75.59655,42.921241
OH,5/24/2020,,,-82.70936,40.415534
WA,5/24/2020,,,-120.592492,47.411715
CA,5/23/2020,,,-119.662127,37.211164
FL,5/23/2020,,,-82.420978,28.260731
GA,5/23/2020,,,-83.426574,32.638481
LA,5/23/2020,35.0,,-91.840238,30.921314
MD,5/23/2020,,,-76.687282,38.946466
NY,5/23/2020,1.0,0.0,-75.59655,42.921241
OH,5/23/2020,,,-82.70936,40.415534
WA,5/23/2020,,,-120.592492,47.411715
CA,5/22/2020,,,-119.662127,37.211164
FL,5/22/2020,,,-82.420978,28.260731
GA,5/22/2020,,,-83.426574,32.638481
LA,5/22/2020,,,-91.840238,30.921314
MD,5/22/2020,,,-76.687282,38.946466
NY,5/22/2020,0.0,0.0,-75.59655,42.921241
OH,5/22/2020,,,-82.70936,40.415534
WA,5/22/2020,,,-120.592492,47.411715
CA,5/21/2020,,,-119.662127,37.211164
FL,5/21/2020,,,-82.420978,28.260731
GA,5/21/2020,,,-83.426574,32.638481
LA,5/21/2020,36.0,,-91.840238,30.921314
MD,5/21/2020,,,-76.687282,38.946466
NY,5/21/2020,1.0,0.0,-75.59655,42.921241
OH,5/21/2020,,,-82.70936,40.415534
WA,5/21/2020,,,-120.592492,47.411715
CA,5/20/2020,,,-119.662127,37.211164
FL,5/20/2020,,,-82.420978,28.260731
GA,5/20/2020,,,-83.426574,32.638481
LA,5/20/2020,36.0,,-91.840238,30.921314
MD,5/20/2020,,,-76.687282,38.946466
NY,5/20/2020,1.0,0.0,-75.59655,42.921241
OH,5/20/2020,,,-82.70936,40.415534
WA,5/20/2020,,,-120.592492,47.411715
CA,5/19/2020,,,-119.662127,37.211164
FL,5/19/2020,,,-82.420978,28.260731
GA,5/19/2020,,,-83.426574,32.638481
LA,5/19/2020,28.0,,-91.840238,30.921314
MD,5/19/2020,,,-76.687282,38.946466
NY,5/19/2020,1.0,0.0,-75.59655,42.921241
OH,5/19/2020,,,-82.70936,40.415534
WA,5/19/2020,,,-120.592492,47.411715
CA,5/18/2020,,,-119.662127,37.211164
FL,5/18/2020,,,-82.420978,28.260731
GA,5/18/2020,,,-83.426574,32.638481
LA,5/18/2020,29.0,,-91.840238,30.921314
MD,5/18/2020,,,-76.687282,38.946466
NY,5/18/2020,1.0,0.0,-75.59655,42.921241
OH,5/18/2020,,,-82.70936,40.415534
WA,5/18/2020,,,-120.592492,47.411715
CA,5/17/2020,,,-119.662127,37.211164
FL,5/17/2020,,,-82.420978,28.260731
GA,5/17/2020,,,-83.426574,32.638481
LA,5/17/2020,20.0,,-91.840238,30.921314
MD,5/17/2020,,,-76.687282,38.946466
NY,5/17/2020,0.0,0.0,-75.59655,42.921241
OH,5/17/2020,,,-82.70936,40.415534
WA,5/17/2020,,,-120.592492,47.411715
CA,5/16/2020,,,-119.662127,37.211164
FL,5/16/2020,,,-82.420978,28.260731
GA,5/16/2020,,,-83.426574,32.638481
LA,5/16/2020,39.0,,-91.840238,30.921314
MD,5/16/2020,,,-76.687282,38.946466
NY,5/16/2020,0.0,0.0,-75.59655,42.921241
OH,5/16/2020,,,-82.70936,40.415534
WA,5/16/2020,,,-120.592492,47.411715
CA,5/15/2020,,,-119.662127,37.211164
FL,5/15/2020,,,-82.420978,28.260731
GA,5/15/2020,,,-83.426574,32.638481
LA,5/15/2020,46.0,,-91.840238,30.921314
MD,5/15/2020,,,-76.687282,38.946466
NY,5/15/2020,0.0,0.0,-75.59655,42.921241
OH,5/15/2020,,,-82.70936,40.415534
WA,5/15/2020,,,-120.592492,47.411715
CA,5/14/2020,,,-119.662127,37.211164
FL,5/14/2020,,,-82.420978,28.260731
GA,5/14/2020,,,-83.426574,32.638481
LA,5/14/2020,48.0,,-91.840238,30.921314
MD,5/14/2020,,,-76.687282,38.946466
NY,5/14/2020,,,-75.59655,42.921241
OH,5/14/2020,,,-82.70936,40.415534
WA,5/14/2020,,,-120.592492,47.411715
CA,5/13/2020,,,-119.662127,37.211164
FL,5/13/2020,,,-82.420978,28.260731
GA,5/13/2020,,,-83.426574,32.638481
LA,5/13/2020,35.0,,-91.840238,30.921314
MD,5/13/2020,,,-76.687282,38.946466
NY,5/13/2020,0.0,0.0,-75.59655,42.921241
OH,5/13/2020,,,-82.70936,40.415534
WA,5/13/2020,,,-120.592492,47.411715
CA,5/12/2020,,,-119.662127,37.211164
FL,5/12/2020,,,-82.420978,28.260731
GA,5/12/2020,,,-83.426574,32.638481
LA,5/12/2020,39.0,,-91.840238,30.921314
MD,5/12/2020,,,-76.687282,38.946466
NY,5/12/2020,0.0,0.0,-75.59655,42.921241
OH,5/12/2020,,,-82.70936,40.415534
WA,5/12/2020,,,-120.592492,47.411715
CA,5/11/2020,,,-119.662127,37.211164
FL,5/11/2020,,,-82.420978,28.260731
GA,5/11/2020,,,-83.426574,32.638481
LA,5/11/2020,34.0,,-91.840238,30.921314
MD,5/11/2020,,,-76.687282,38.946466
NY,5/11/2020,1.0,0.0,-75.59655,42.921241
OH,5/11/2020,,,-82.70936,40.415534
WA,5/11/2020,,,-120.592492,47.411715
CA,5/10/2020,,,-119.662127,37.211164
FL,5/10/2020,,,-82.420978,28.260731
GA,5/10/2020,,,-83.426574,32.638481
LA,5/10/2020,26.0,,-91.840238,30.921314
MD,5/10/2020,,,-76.687282,38.946466
NY,5/10/2020,0.0,0.0,-75.59655,42.921241
OH,5/10/2020,,,-82.70936,40.415534
WA,5/10/2020,,,-120.592492,47.411715
CA,5/9/2020,,,-119.662127,37.211164
FL,5/9/2020,,,-82.420978,28.260731
GA,5/9/2020,,,-83.426574,32.638481
LA,5/9/2020,49.0,,-91.840238,30.921314
MD,5/9/2020,,,-76.687282,38.946466
NY,5/9/2020,0.0,0.0,-75.59655,42.921241
OH,5/9/2020,,,-82.70936,40.415534
WA,5/9/2020,,,-120.592492,47.411715
CA,5/8/2020,,,-119.662127,37.211164
FL,5/8/2020,,,-82.420978,28.260731
GA,5/8/2020,,,-83.426574,32.638481
LA,5/8/2020,29.0,,-91.840238,30.921314
MD,5/8/2020,,,-76.687282,38.946466
NY,5/8/2020,0.0,0.0,-75.59655,42.921241
OH,5/8/2020,,,-82.70936,40.415534
WA,5/8/2020,,,-120.592492,47.411715
CA,5/7/2020,,,-119.662127,37.211164
FL,5/7/2020,,,-82.420978,28.260731
GA,5/7/2020,,,-83.426574,32.638481
LA,5/7/2020,38.0,,-91.840238,30.921314
MD,5/7/2020,,,-76.687282,38.946466
NY,5/7/2020,1.0,0.0,-75.59655,42.921241
OH,5/7/2020,,,-82.70936,40.415534
WA,5/7/2020,,,-120.592492,47.411715
CA,5/6/2020,,,-119.662127,37.211164
FL,5/6/2020,,,-82.420978,28.260731
GA,5/6/2020,,,-83.426574,32.638481
LA,5/6/2020,0.0,,-91.840238,30.921314
MD,5/6/2020,,,-76.687282,38.946466
NY,5/6/2020,0.0,0.0,-75.59655,42.921241
OH,5/6/2020,,,-82.70936,40.415534
WA,5/6/2020,,,-120.592492,47.411715
CA,5/5/2020,,,-119.662127,37.211164
FL,5/5/2020,,,-82.420978,28.260731
GA,5/5/2020,,,-83.426574,32.638481
LA,5/5/2020,41.0,,-91.840238,30.921314
MD,5/5/2020,,,-76.687282,38.946466
NY,5/5/2020,0.0,0.0,-75.59655,42.921241
OH,5/5/2020,,,-82.70936,40.415534
WA,5/5/2020,,,-120.592492,47.411715
CA,5/4/2020,,,-119.662127,37.211164
FL,5/4/2020,,,-82.420978,28.260731
GA,5/4/2020,,,-83.426574,32.638481
LA,5/4/2020,51.0,,-91.840238,30.921314
MD,5/4/2020,,,-76.687282,38.946466
NY,5/4/2020,0.0,0.0,-75.59655,42.921241
OH,5/4/2020,,,-82.70936,40.415534
WA,5/4/2020,,,-120.592492,47.411715
CA,5/3/2020,,,-119.662127,37.211164
FL,5/3/2020,,,-82.420978,28.260731
GA,5/3/2020,,,-83.426574,32.638481
LA,5/3/2020,47.0,,-91.840238,30.921314
MD,5/3/2020,,,-76.687282,38.946466
NY,5/3/2020,0.0,0.0,-75.59655,42.921241
OH,5/3/2020,,,-82.70936,40.415534
WA,5/3/2020,,,-120.592492,47.411715
CA,5/2/2020,,,-119.662127,37.211164
FL,5/2/2020,,,-82.420978,28.260731
GA,5/2/2020,,,-83.426574,32.638481
LA,5/2/2020,67.0,,-91.840238,30.921314
MD,5/2/2020,,,-76.687282,38.946466
NY,5/2/2020,0.0,0.0,-75.59655,42.921241
OH,5/2/2020,,,-82.70936,40.415534
WA,5/2/2020,,,-120.592492,47.411715
CA,5/1/2020,,,-119.662127,37.211164
FL,5/1/2020,,,-82.420978,28.260731
GA,5/1/2020,,,-83.426574,32.638481
LA,5/1/2020,71.0,,-91.840238,30.921314
MD,5/1/2020,,,-76.687282,38.946466
NY,5/1/2020,0.0,0.0,-75.59655,42.921241
OH,5/1/2020,,,-82.70936,40.415534
WA,5/1/2020,,,-120.592492,47.411715
CA,4/30/2020,,,-119.662127,37.211164
FL,4/30/2020,,,-82.420978,28.260731
GA,4/30/2020,,,-83.426574,32.638481
LA,4/30/2020,75.0,,-91.840238,30.921314
MD,4/30/2020,,,-76.687282,38.946466
NY,4/30/2020,0.0,0.0,-75.59655,42.921241
OH,4/30/2020,,,-82.70936,40.415534
WA,4/30/2020,,,-120.592492,47.411715
CA,4/29/2020,,,-119.662127,37.211164
FL,4/29/2020,,,-82.420978,28.260731
GA,4/29/2020,,,-83.426574,32.638481
LA,4/29/2020,58.0,,-91.840238,30.921314
MD,4/29/2020,,,-76.687282,38.946466
NY,4/29/2020,0.0,0.0,-75.59655,42.921241
OH,4/29/2020,,,-82.70936,40.415534
WA,4/29/2020,,,-120.592492,47.411715
CA,4/28/2020,,,-119.662127,37.211164
FL,4/28/2020,,,-82.420978,28.260731
GA,4/28/2020,,,-83.426574,32.638481
LA,4/28/2020,44.0,,-91.840238,30.921314
MD,4/28/2020,,,-76.687282,38.946466
NY,4/28/2020,0.0,0.0,-75.59655,42.921241
OH,4/28/2020,,,-82.70936,40.415534
WA,4/28/2020,,,-120.592492,47.411715
CA,4/27/2020,,,-119.662127,37.211164
FL,4/27/2020,,,-82.420978,28.260731
GA,4/27/2020,,,-83.426574,32.638481
LA,4/27/2020,47.0,,-91.840238,30.921314
MD,4/27/2020,,,-76.687282,38.946466
NY,4/27/2020,1.0,0.0,-75.59655,42.921241
OH,4/27/2020,,,-82.70936,40.415534
WA,4/27/2020,,,-120.592492,47.411715
CA,4/26/2020,,,-119.662127,37.211164
FL,4/26/2020,,,-82.420978,28.260731
GA,4/26/2020,,,-83.426574,32.638481
LA,4/26/2020,41.0,,-91.840238,30.921314
MD,4/26/2020,,,-76.687282,38.946466
NY,4/26/2020,0.0,0.0,-75.59655,42.921241
OH,4/26/2020,,,-82.70936,40.415534
WA,4/26/2020,,,-120.592492,47.411715
CA,4/25/2020,,,-119.662127,37.211164
FL,4/25/2020,,,-82.420978,28.260731
GA,4/25/2020,,,-83.426574,32.638481
LA,4/25/2020,64.0,,-91.840238,30.921314
MD,4/25/2020,,,-76.687282,38.946466
NY,4/25/2020,0.0,0.0,-75.59655,42.921241
OH,4/25/2020,,,-82.70936,40.415534
WA,4/25/2020,,,-120.592492,47.411715
CA,4/24/2020,,,-119.662127,37.211164
FL,4/24/2020,,,-82.420978,28.260731
GA,4/24/2020,,,-83.426574,32.638481
LA,4/24/2020,66.0,,-91.840238,30.921314
MD,4/24/2020,,,-76.687282,38.946466
NY,4/24/2020,,,-75.59655,42.921241
OH,4/24/2020,,,-82.70936,40.415534
WA,4/24/2020,,,-120.592492,47.411715
CA,4/23/2020,,,-119.662127,37.211164
FL,4/23/2020,,,-82.420978,28.260731
GA,4/23/2020,,,-83.426574,32.638481
LA,4/23/2020,48.0,,-91.840238,30.921314
MD,4/23/2020,,,-76.687282,38.946466
NY,4/23/2020,,,-75.59655,42.921241
OH,4/23/2020,,,-82.70936,40.415534
WA,4/23/2020,,,-120.592492,47.411715
CA,4/22/2020,,,-119.662127,37.211164
FL,4/22/2020,,,-82.420978,28.260731
GA,4/22/2020,,,-83.426574,32.638481
LA,4/22/2020,0.0,,-91.840238,30.921314
MD,4/22/2020,,,-76.687282,38.946466
NY,4/22/2020,,,-75.59655,42.921241
OH,4/22/2020,,,-82.70936,40.415534
WA,4/22/2020,,,-120.592492,47.411715
CA,4/21/2020,,,-119.662127,37.211164
FL,4/21/2020,,,-82.420978,28.260731
GA,4/21/2020,,,-83.426574,32.638481
LA,4/21/2020,48.0,,-91.840238,30.921314
MD,4/21/2020,,,-76.687282,38.946466
NY,4/21/2020,,,-75.59655,42.921241
OH,4/21/2020,,,-82.70936,40.415534
WA,4/21/2020,,,-120.592492,47.411715
CA,4/20/2020,,,-119.662127,37.211164
FL,4/20/2020,,,-82.420978,28.260731
GA,4/20/2020,,,-83.426574,32.638481
LA,4/20/2020,66.0,,-91.840238,30.921314
MD,4/20/2020,,,-76.687282,38.946466
NY,4/20/2020,,,-75.59655,42.921241
OH,4/20/2020,,,-82.70936,40.415534
WA,4/20/2020,,,-120.592492,47.411715
CA,4/19/2020,,,-119.662127,37.211164
FL,4/19/2020,,,-82.420978,28.260731
GA,4/19/2020,,,-83.426574,32.638481
LA,4/19/2020,67.0,,-91.840238,30.921314
MD,4/19/2020,,,-76.687282,38.946466
NY,4/19/2020,1.0,0.0,-75.59655,42.921241
OH,4/19/2020,,,-82.70936,40.415534
WA,4/19/2020,,,-120.592492,47.411715
CA,4/18/2020,,,-119.662127,37.211164
FL,4/18/2020,,,-82.420978,28.260731
GA,4/18/2020,,,-83.426574,32.638481
LA,4/18/2020,52.0,,-91.840238,30.921314
MD,4/18/2020,,,-76.687282,38.946466
NY,4/18/2020,0.0,0.0,-75.59655,42.921241
OH,4/18/2020,,,-82.70936,40.415534
WA,4/18/2020,,,-120.592492,47.411715
CA,4/17/2020,,,-119.662127,37.211164
FL,4/17/2020,,,-82.420978,28.260731
GA,4/17/2020,,,-83.426574,32.638481
LA,4/17/2020,71.0,,-91.840238,30.921314
MD,4/17/2020,,,-76.687282,38.946466
NY,4/17/2020,,,-75.59655,42.921241
OH,4/17/2020,,,-82.70936,40.415534
WA,4/17/2020,,,-120.592492,47.411715
CA,4/16/2020,,,-119.662127,37.211164
FL,4/16/2020,,,-82.420978,28.260731
GA,4/16/2020,,,-83.426574,32.638481
LA,4/16/2020,22.0,,-91.840238,30.921314
MD,4/16/2020,,,-76.687282,38.946466
NY,4/16/2020,,,-75.59655,42.921241
OH,4/16/2020,,,-82.70936,40.415534
WA,4/16/2020,,,-120.592492,47.411715
CA,4/15/2020,,,-119.662127,37.211164
FL,4/15/2020,,,-82.420978,28.260731
GA,4/15/2020,,,-83.426574,32.638481
LA,4/15/2020,37.0,,-91.840238,30.921314
MD,4/15/2020,,,-76.687282,38.946466
NY,4/15/2020,,,-75.59655,42.921241
OH,4/15/2020,,,-82.70936,40.415534
WA,4/15/2020,,,-120.592492,47.411715
CA,4/14/2020,,,-119.662127,37.211164
FL,4/14/2020,,,-82.420978,28.260731
GA,4/14/2020,,,-83.426574,32.638481
LA,4/14/2020,48.0,,-91.840238,30.921314
MD,4/14/2020,,,-76.687282,38.946466
NY,4/14/2020,,,-75.59655,42.921241
OH,4/14/2020,,,-82.70936,40.415534
WA,4/14/2020,,,-120.592492,47.411715
CA,4/13/2020,,,-119.662127,37.211164
FL,4/13/2020,,,-82.420978,28.260731
GA,4/13/2020,,,-83.426574,32.638481
LA,4/13/2020,61.0,,-91.840238,30.921314
MD,4/13/2020,,,-76.687282,38.946466
NY,4/13/2020,,,-75.59655,42.921241
OH,4/13/2020,,,-82.70936,40.415534
WA,4/13/2020,,,-120.592492,47.411715
CA,4/12/2020,,,-119.662127,37.211164
FL,4/12/2020,,,-82.420978,28.260731
GA,4/12/2020,,,-83.426574,32.638481
LA,4/12/2020,69.0,,-91.840238,30.921314
MD,4/12/2020,,,-76.687282,38.946466
NY,4/12/2020,0.0,0.0,-75.59655,42.921241
OH,4/12/2020,,,-82.70936,40.415534
WA,4/12/2020,,,-120.592492,47.411715
CA,4/11/2020,,,-119.662127,37.211164
FL,4/11/2020,,,-82.420978,28.260731
GA,4/11/2020,,,-83.426574,32.638481
LA,4/11/2020,54.0,,-91.840238,30.921314
MD,4/11/2020,,,-76.687282,38.946466
NY,4/11/2020,0.0,0.0,-75.59655,42.921241
OH,4/11/2020,,,-82.70936,40.415534
WA,4/11/2020,,,-120.592492,47.411715
CA,4/10/2020,,,-119.662127,37.211164
FL,4/10/2020,,,-82.420978,28.260731
GA,4/10/2020,,,-83.426574,32.638481
LA,4/10/2020,77.0,,-91.840238,30.921314
MD,4/10/2020,,,-76.687282,38.946466
NY,4/10/2020,,,-75.59655,42.921241
OH,4/10/2020,,,-82.70936,40.415534
WA,4/10/2020,,,-120.592492,47.411715
CA,4/9/2020,,,-119.662127,37.211164
FL,4/9/2020,,,-82.420978,28.260731
GA,4/9/2020,,,-83.426574,32.638481
LA,4/9/2020,62.0,,-91.840238,30.921314
MD,4/9/2020,,,-76.687282,38.946466
NY,4/9/2020,,,-75.59655,42.921241
OH,4/9/2020,,,-82.70936,40.415534
WA,4/9/2020,,,-120.592492,47.411715
CA,4/8/2020,,,-119.662127,37.211164
FL,4/8/2020,,,-82.420978,28.260731
GA,4/8/2020,,,-83.426574,32.638481
LA,4/8/2020,63.0,,-91.840238,30.921314
MD,4/8/2020,,,-76.687282,38.946466
NY,4/8/2020,,,-75.59655,42.921241
OH,4/8/2020,,,-82.70936,40.415534
WA,4/8/2020,,,-120.592492,47.411715
CA,4/7/2020,,,-119.662127,37.211164
FL,4/7/2020,,,-82.420978,28.260731
GA,4/7/2020,,,-83.426574,32.638481
LA,4/7/2020,76.0,,-91.840238,30.921314
MD,4/7/2020,,,-76.687282,38.946466
NY,4/7/2020,,,-75.59655,42.921241
OH,4/7/2020,,,-82.70936,40.415534
WA,4/7/2020,,,-120.592492,47.411715
CA,4/6/2020,,,-119.662127,37.211164
FL,4/6/2020,,,-82.420978,28.260731
GA,4/6/2020,,,-83.426574,32.638481
LA,4/6/2020,74.0,,-91.840238,30.921314
MD,4/6/2020,,,-76.687282,38.946466
NY,4/6/2020,,,-75.59655,42.921241
OH,4/6/2020,,,-82.70936,40.415534
WA,4/6/2020,,,-120.592492,47.411715
CA,4/5/2020,,,-119.662127,37.211164
FL,4/5/2020,,,-82.420978,28.260731
GA,4/5/2020,,,-83.426574,32.638481
LA,4/5/2020,,,-91.840238,30.921314
MD,4/5/2020,,,-76.687282,38.946466
NY,4/5/2020,,,-75.59655,42.921241
OH,4/5/2020,,,-82.70936,40.415534
WA,4/5/2020,,,-120.592492,47.411715
CA,4/4/2020,,,-119.662127,37.211164
FL,4/4/2020,,,-82.420978,28.260731
GA,4/4/2020,,,-83.426574,32.638481
LA,4/4/2020,,,-91.840238,30.921314
MD,4/4/2020,,,-76.687282,38.946466
NY,4/4/2020,,,-75.59655,42.921241
OH,4/4/2020,,,-82.70936,40.415534
WA,4/4/2020,,,-120.592492,47.411715
CA,4/3/2020,,,-119.662127,37.211164
FL,4/3/2020,,,-82.420978,28.260731
GA,4/3/2020,,,-83.426574,32.638481
LA,4/3/2020,,,-91.840238,30.921314
MD,4/3/2020,,,-76.687282,38.946466
NY,4/3/2020,,,-75.59655,42.921241
OH,4/3/2020,,,-82.70936,40.415534
WA,4/3/2020,,,-120.592492,47.411715
CA,4/2/2020,,,-119.662127,37.211164
FL,4/2/2020,,,-82.420978,28.260731
GA,4/2/2020,,,-83.426574,32.638481
LA,4/2/2020,,,-91.840238,30.921314
MD,4/2/2020,,,-76.687282,38.946466
NY,4/2/2020,,,-75.59655,42.921241
OH,4/2/2020,,,-82.70936,40.415534
WA,4/2/2020,,,-120.592492,47.411715
CA,4/1/2020,,,-119.662127,37.211164
FL,4/1/2020,,,-82.420978,28.260731
GA,4/1/2020,,,-83.426574,32.638481
LA,4/1/2020,,,-91.840238,30.921314
MD,4/1/2020,,,-76.687282,38.946466
NY,4/1/2020,,,-75.59655,42.921241
OH,4/1/2020,,,-82.70936,40.415534
WA,4/1/2020,,,-120.592492,47.411715
CA,3/31/2020,,,-119.662127,37.211164
FL,3/31/2020,,,-82.420978,28.260731
GA,3/31/2020,,,-83.426574,32.638481
LA,3/31/2020,,,-91.840238,30.921314
MD,3/31/2020,,,-76.687282,38.946466
NY,3/31/2020,,,-75.59655,42.921241
OH,3/31/2020,,,-82.70936,40.415534
WA,3/31/2020,,,-120.592492,47.411715
CA,3/30/2020,,,-119.662127,37.211164
FL,3/30/2020,,,-82.420978,28.260731
GA,3/30/2020,,,-83.426574,32.638481
LA,3/30/2020,,,-91.840238,30.921314
MD,3/30/2020,,,-76.687282,38.946466
NY,3/30/2020,,,-75.59655,42.921241
OH,3/30/2020,,,-82.70936,40.415534
WA,3/30/2020,,,-120.592492,47.411715
CA,3/29/2020,,,-119.662127,37.211164
FL,3/29/2020,,,-82.420978,28.260731
GA,3/29/2020,,,-83.426574,32.638481
LA,3/29/2020,,,-91.840238,30.921314
MD,3/29/2020,,,-76.687282,38.946466
NY,3/29/2020,,,-75.59655,42.921241
OH,3/29/2020,,,-82.70936,40.415534
WA,3/29/2020,,,-120.592492,47.411715
CA,3/28/2020,,,-119.662127,37.211164
FL,3/28/2020,,,-82.420978,28.260731
GA,3/28/2020,,,-83.426574,32.638481
LA,3/28/2020,,,-91.840238,30.921314
MD,3/28/2020,,,-76.687282,38.946466
NY,3/28/2020,,,-75.59655,42.921241
OH,3/28/2020,,,-82.70936,40.415534
WA,3/28/2020,,,-120.592492,47.411715
CA,3/27/2020,,,-119.662127,37.211164
FL,3/27/2020,,,-82.420978,28.260731
GA,3/27/2020,,,-83.426574,32.638481
LA,3/27/2020,,,-91.840238,30.921314
MD,3/27/2020,,,-76.687282,38.946466
NY,3/27/2020,,,-75.59655,42.921241
OH,3/27/2020,,,-82.70936,40.415534
WA,3/27/2020,,,-120.592492,47.411715
CA,3/26/2020,,,-119.662127,37.211164
FL,3/26/2020,,,-82.420978,28.260731
GA,3/26/2020,,,-83.426574,32.638481
LA,3/26/2020,,,-91.840238,30.921314
MD,3/26/2020,,,-76.687282,38.946466
NY,3/26/2020,,,-75.59655,42.921241
OH,3/26/2020,,,-82.70936,40.415534
WA,3/26/2020,,,-120.592492,47.411715
CA,3/25/2020,,,-119.662127,37.211164
FL,3/25/2020,,,-82.420978,28.260731
GA,3/25/2020,,,-83.426574,32.638481
LA,3/25/2020,,,-91.840238,30.921314
MD,3/25/2020,,,-76.687282,38.946466
NY,3/25/2020,,,-75.59655,42.921241
OH,3/25/2020,,,-82.70936,40.415534
WA,3/25/2020,,,-120.592492,47.411715
CA,3/24/2020,,,-119.662127,37.211164
FL,3/24/2020,,,-82.420978,28.260731
GA,3/24/2020,,,-83.426574,32.638481
LA,3/24/2020,,,-91.840238,30.921314
MD,3/24/2020,,,-76.687282,38.946466
NY,3/24/2020,,,-75.59655,42.921241
OH,3/24/2020,,,-82.70936,40.415534
WA,3/24/2020,,,-120.592492,47.411715
CA,3/23/2020,,,-119.662127,37.211164
FL,3/23/2020,,,-82.420978,28.260731
GA,3/23/2020,,,-83.426574,32.638481
LA,3/23/2020,,,-91.840238,30.921314
MD,3/23/2020,,,-76.687282,38.946466
NY,3/23/2020,,,-75.59655,42.921241
OH,3/23/2020,,,-82.70936,40.415534
WA,3/23/2020,,,-120.592492,47.411715
CA,3/22/2020,,,-119.662127,37.211164
FL,3/22/2020,,,-82.420978,28.260731
GA,3/22/2020,,,-83.426574,32.638481
LA,3/22/2020,,,-91.840238,30.921314
MD,3/22/2020,,,-76.687282,38.946466
NY,3/22/2020,,,-75.59655,42.921241
OH,3/22/2020,,,-82.70936,40.415534
WA,3/22/2020,,,-120.592492,47.411715
CA,3/21/2020,,,-119.662127,37.211164
FL,3/21/2020,,,-82.420978,28.260731
GA,3/21/2020,,,-83.426574,32.638481
LA,3/21/2020,,,-91.840238,30.921314
MD,3/21/2020,,,-76.687282,38.946466
NY,3/21/2020,,,-75.59655,42.921241
OH,3/21/2020,,,-82.70936,40.415534
WA,3/21/2020,,,-120.592492,47.411715
CA,3/20/2020,,,-119.662127,37.211164
FL,3/20/2020,,,-82.420978,28.260731
GA,3/20/2020,,,-83.426574,32.638481
LA,3/20/2020,,,-91.840238,30.921314
MD,3/20/2020,,,-76.687282,38.946466
NY,3/20/2020,,,-75.59655,42.921241
OH,3/20/2020,,,-82.70936,40.415534
WA,3/20/2020,,,-120.592492,47.411715
CA,3/19/2020,,,-119.662127,37.211164
FL,3/19/2020,,,-82.420978,28.260731
GA,3/19/2020,,,-83.426574,32.638481
LA,3/19/2020,,,-91.840238,30.921314
MD,3/19/2020,,,-76.687282,38.946466
NY,3/19/2020,,,-75.59655,42.921241
OH,3/19/2020,,,-82.70936,40.415534
WA,3/19/2020,,,-120.592492,47.411715
CA,3/18/2020,,,-119.662127,37.211164
FL,3/18/2020,,,-82.420978,28.260731
GA,3/18/2020,,,-83.426574,32.638481
LA,3/18/2020,,,-91.840238,30.921314
MD,3/18/2020,,,-76.687282,38.946466
NY,3/18/2020,,,-75.59655,42.921241
OH,3/18/2020,,,-82.70936,40.415534
WA,3/18/2020,,,-120.592492,47.411715
CA,3/17/2020,,,-119.662127,37.211164
FL,3/17/2020,,,-82.420978,28.260731
GA,3/17/2020,,,-83.426574,32.638481
LA,3/17/2020,,,-91.840238,30.921314
MD,3/17/2020,,,-76.687282,38.946466
NY,3/17/2020,,,-75.59655,42.921241
OH,3/17/2020,,,-82.70936,40.415534
WA,3/17/2020,,,-120.592492,47.411715
CA,3/16/2020,,,-119.662127,37.211164
FL,3/16/2020,,,-82.420978,28.260731
GA,3/16/2020,,,-83.426574,32.638481
LA,3/16/2020,,,-91.840238,30.921314
MD,3/16/2020,,,-76.687282,38.946466
NY,3/16/2020,,,-75.59655,42.921241
OH,3/16/2020,,,-82.70936,40.415534
WA,3/16/2020,,,-120.592492,47.411715
CA,3/15/2020,,,-119.662127,37.211164
FL,3/15/2020,,,-82.420978,28.260731
GA,3/15/2020,,,-83.426574,32.638481
LA,3/15/2020,,,-91.840238,30.921314
MD,3/15/2020,,,-76.687282,38.946466
NY,3/15/2020,,,-75.59655,42.921241
OH,3/15/2020,,,-82.70936,40.415534
WA,3/15/2020,,,-120.592492,47.411715
CA,3/14/2020,,,-119.662127,37.211164
FL,3/14/2020,,,-82.420978,28.260731
GA,3/14/2020,,,-83.426574,32.638481
LA,3/14/2020,,,-91.840238,30.921314
MD,3/14/2020,,,-76.687282,38.946466
NY,3/14/2020,,,-75.59655,42.921241
OH,3/14/2020,,,-82.70936,40.415534
WA,3/14/2020,,,-120.592492,47.411715
CA,3/13/2020,,,-119.662127,37.211164
FL,3/13/2020,,,-82.420978,28.260731
GA,3/13/2020,,,-83.426574,32.638481
