state,date,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,Longitude,Latitude
FL,7/20/2020,666.0,3.0,-82.420978,28.260731
GA,7/20/2020,168.0,27.0,-83.426574,32.638481
LA,7/20/2020,162.0,0.0,-91.840238,30.921314
MD,7/20/2020,50.0,0.0,-76.687282,38.946466
NY,7/20/2020,42.0,3.0,-75.59655,42.921241
OH,7/20/2020,110.0,1.0,-82.70936,40.415534
WA,7/20/2020,27.0,2.0,-120.592492,47.411715
CA,7/19/2020,391.0,14.0,-119.662127,37.211164
FL,7/19/2020,454.0,1.0,-82.420978,28.260731
GA,7/19/2020,152.0,26.0,-83.426574,32.638481
LA,7/19/2020,149.0,0.0,-91.840238,30.921314
MD,7/19/2020,51.0,1.0,-76.687282,38.946466
NY,7/19/2020,24.0,1.0,-75.59655,42.921241
OH,7/19/2020,146.0,1.0,-82.70936,40.415534
WA,7/19/2020,28.0,2.0,-120.592492,47.411715
CA,7/18/2020,584.0,18.0,-119.662127,37.211164
FL,7/18/2020,775.0,43.0,-82.420978,28.260731
GA,7/18/2020,199.0,25.0,-83.426574,32.638481
LA,7/18/2020,184.0,0.0,-91.840238,30.921314
MD,7/18/2020,45.0,2.0,-76.687282,38.946466
NY,7/18/2020,54.0,1.0,-75.59655,42.921241
OH,7/18/2020,126.0,5.0,-82.70936,40.415534
WA,7/18/2020,25.0,1.0,-120.592492,47.411715
CA,7/17/2020,601.0,13.0,-119.662127,37.211164
FL,7/17/2020,794.0,58.0,-82.420978,28.260731
GA,7/17/2020,191.0,25.0,-83.426574,32.638481
LA,7/17/2020,163.0,0.0,-91.840238,30.921314
MD,7/17/2020,41.0,0.0,-76.687282,38.946466
NY,7/17/2020,65.0,3.0,-75.59655,42.921241
OH,7/17/2020,120.0,4.0,-82.70936,40.415534
WA,7/17/2020,29.0,0.0,-120.592492,47.411715
CA,7/16/2020,567.0,8.0,-119.662127,37.211164
FL,7/16/2020,654.0,9.0,-82.420978,28.260731
GA,7/16/2020,171.0,30.0,-83.426574,32.638481
LA,7/16/2020,161.0,0.0,-91.840238,30.921314
MD,7/16/2020,46.0,0.0,-76.687282,38.946466
NY,7/16/2020,59.0,9.0,-75.59655,42.921241
OH,7/16/2020,122.0,3.0,-82.70936,40.415534
WA,7/16/2020,22.0,0.0,-120.592492,47.411715
CA,7/15/2020,449.0,166.0,-119.662127,37.211164
FL,7/15/2020,446.0,5.0,-82.420978,28.260731
GA,7/15/2020,138.0,5.0,-83.426574,32.638481
LA,7/15/2020,162.0,0.0,-91.840238,30.921314
MD,7/15/2020,42.0,0.0,-76.687282,38.946466
NY,7/15/2020,54.0,0.0,-75.59655,42.921241
OH,7/15/2020,54.0,1.0,-82.70936,40.415534
WA,7/15/2020,26.0,0.0,-120.592492,47.411715
CA,7/14/2020,,,-119.662127,37.211164
FL,7/14/2020,,,-82.420978,28.260731
GA,7/14/2020,0.0,0.0,-83.426574,32.638481
LA,7/14/2020,157.0,,-91.840238,30.921314
MD,7/14/2020,,,-76.687282,38.946466
